iter	Passed	Remaining
576	3363	1241
577	3370	1236
578	3376	1230
579	3382	1224
580	3389	1219
581	3394	1213
582	3400	1207
583	3406	1201
584	3411	1195
585	3417	1189
586	3423	1183
587	3429	1178
588	3437	1172
589	3443	1167
590	3449	1161
591	3456	1155
592	3462	1150
593	3469	1144
594	3475	1139
595	3482	1133
596	3488	1127
597	3493	1121
598	3499	1115
599	3505	1110
600	3510	1103
601	3515	1097
602	3520	1091
603	3525	1085
604	3530	1079
605	3535	1073
606	3540	1067
607	3545	1061
608	3549	1054
609	3554	1048
610	3559	1042
611	3564	1036
612	3569	1030
613	3574	1024
614	3579	1018
615	3585	1012
616	3590	1006
617	3595	1000
618	3601	994
619	3606	988
620	3612	983
621	3618	977
622	3623	971
623	3629	965
624	3634	959
625	3639	953
626	3644	947
627	3660	944
628	3670	939
629	3679	934
630	3687	929
631	3695	923
632	3702	918
633	3710	912
634	3718	907
635	3724	901
636	3732	896
637	3740	891
638	3746	885
639	3752	879
640	3759	873
641	3766	868
642	3772	862
643	3779	856
644	3785	851
645	3792	845
646	3798	839
647	3805	833
648	3811	827
649	3817	822
650	3822	816
651	3827	810
652	3833	804
653	3840	798
654	3846	792
655	3853	787
656	3860	781
657	3867	775
658	3875	770
659	3882	764
660	3891	759
661	3898	753
662	3905	748
663	3912	742
664	3919	736
665	3925	730
666	3932	725
667	3939	719
668	3945	713
669	3951	707
670	3958	702
671	3966	696
672	3972	690
673	3977	684
674	3982	678
675	3987	672
676	3992	666
677	3997	660
678	4002	654
679	4008	648
680	4014	642
681	4019	636
682	4027	630
683	4035	625
684	4043	619
685	4051	614
686	4057	608
687	4064	602
688	4070	596
689	4075	590
690	4080	584
691	4085	578
692	4090	572
693	4095	566
694	4100	560
695	4104	554
696	4109	548
697	4114	542
698	4119	536
699	4124	530
700	4128	524
701	4133	518
702	4138	512
703	4143	506
704	4147	500
705	4152	494
706	4157	488
707	4161	481
708	4166	475
709	4174	470
710	4180	464
711	4186	458
712	4192	452
713	4197	446
714	4203	440
715	4208	434
716	4212	428
717	4217	422
718	4221	416
719	4226	410
720	4231	404
721	4236	398
722	4240	392
723	4245	386
724	4249	381
725	4260	375
726	4265	369
727	4270	363
728	4275	357
729	4280	351
730	4285	345
731	4291	340
732	4296	334
733	4301	328
734	4307	322
735	4312	316
736	4317	310
737	4323	304
738	4327	298
739	4332	292
740	4342	287
741	4347	281
742	4352	275
743	4357	269
744	4363	263
745	4368	257
746	4372	251
747	4377	245
748	4382	239
749	4387	233
750	4391	228
751	4396	222
752	4400	216
753	4405	210
754	4410	204
755	4415	198
756	4420	192
757	4424	186
758	4431	181
759	4437	175
760	4442	169
761	4447	163
762	4452	157
763	4456	151
764	4461	145
765	4466	139
766	4471	134
767	4477	128
768	4482	122
